year,film,winner,nominated_for_Writing,nominated_for_BestDirector,nominated_for_BestActress,nominated_for_BestActor,nominated_for_BestFilmEditing,Adventure,Biography,Comedy,Crime,Drama,History,Musical,Romance,Thriller,War,Other
1934,It Happened One Night,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0.5,0,0,0,0,0.5,0,0,0
1934,Cleopatra,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0
1934,Imitation of Life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0.5,0,0,0.5,0,0,0
1934,The Barretts of Wimpole Street,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
1934,The Thin Man,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.333333333333333
1934,The Gay Divorcee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0,0
1934,One Night of Love,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0.5,0,0,0.5
1934,Viva Villa!,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.5,0,0,0,0,0,0,0,0,0.5
1934,Flirtation Walk,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0.5,0.5,0,0,0
1934,Here Comes the Navy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0
1934,The House of Rothschild,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.25,0,0,0.25,0.25,0,0,0,0.25,0
1934,The White Parade,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0
1935,Mutiny on the Bounty,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0
1935,Ruggles of Red Gap,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.5,0,0,0,0,0.5,0,0,0
1935,Broadway Melody of 1936,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0.5,0.5,0,0,0
1935,The Informer,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,0
1935,A Midsummer Night's Dream,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0.333333333333333
1935,The Lives of a Bengal Lancer,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.5,0,0,0,0.5,0,0,0,0,0,0
1935,David Copperfield,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.333333333333333,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
1935,Top Hat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0,0
1935,Alice Adams,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0
1935,Naughty Marietta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0
1935,Les Miserables,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0
1935,Captain Blood,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.5,0,0,0,0,0,0,0,0,0,0.5
1936,The Great Ziegfeld,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0
1936,Three Smart Girls,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0,0
