Name,Age,Height,Weight,Team,NOC,Games,Year,City,Medal,EventId,AthleteId,HOST_NOC
Otto Satzinger,27,NA,NA,Austria,AUT,1906 Summer,1906,Athina,Bronze,1,343,GRE
Gottlob Friedrich Walz,24,NA,NA,Germany,GER,1906 Summer,1906,Athina,Gold,1,166,GRE
Georg Hoffmann,NA,NA,NA,Germany,GER,1906 Summer,1906,Athina,Silver,1,153,GRE
"Johan Gottfrid ""John"" Andersson",36,NA,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,230,GRE
Robert Theodor Andersson,19,NA,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,382,GRE
D. Argalias,NA,NA,NA,Greece,GRE,1906 Summer,1906,Athina,NA,1,84,GRE
Carlo Bonfanti,30,NA,NA,Italy,ITA,1906 Summer,1906,Athina,NA,1,64,GRE
Frank Alexander Bornamann,29,NA,NA,United States,USA,1906 Summer,1906,Athina,NA,1,136,GRE
Luigi Capra,NA,NA,NA,Italy,ITA,1906 Summer,1906,Athina,NA,1,299,GRE
Gordon Melville Clark,23,NA,NA,Great Britain,GBR,1906 Summer,1906,Athina,NA,1,165,GRE
Otto Josias Engelbrekt Hagborg,51,NA,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,342,GRE
Johan Alfred Emmanuel Johansson,29,NA,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,229,GRE
Carl August Hjalmar Johansson,32,170,76,Sweden,SWE,1906 Summer,1906,Athina,NA,1,62,GRE
Emilios Krouazas,NA,NA,NA,Greece,GRE,1906 Summer,1906,Athina,NA,1,109,GRE
Sigfrid Daniel Larsson,24,NA,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,412,GRE
Johan Wilhelm Lindgren,25,NA,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,232,GRE
Emil August Lundberg,42,NA,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,107,GRE
"Friedrich Karl August ""Fritz"" Nicolai",27,NA,NA,Germany,GER,1906 Summer,1906,Athina,NA,1,142,GRE
Karl Axel Patrik Norling,22,178,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,260,GRE
P. Paraskevopoulos,NA,NA,NA,Greece,GRE,1906 Summer,1906,Athina,NA,1,357,GRE
August Herman Gerlach Richter,18,NA,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,48,GRE
Ernst Einar Rosengren,21,NA,NA,Sweden,SWE,1906 Summer,1906,Athina,NA,1,117,GRE
Harold Nelson Smyrk,16,NA,NA,Great Britain,GBR,1906 Summer,1906,Athina,NA,1,184,GRE
Albert Hermann Zrner,16,NA,NA,Germany,GER,1906 Summer,1906,Athina,NA,1,12,GRE
Arvid Fredrik Spngberg,18,170,NA,Sweden,SWE,1908 Summer,1908,London,Bronze,2,47,GBR
Carl August Hjalmar Johansson,34,170,76,Sweden,SWE,1908 Summer,1908,London,Gold,2,62,GBR
Karl Fritiof Malmstrm,32,NA,NA,Sweden,SWE,1908 Summer,1908,London,Silver,2,262,GBR
Erik William Adlerz,15,NA,NA,Sweden,SWE,1908 Summer,1908,London,NA,2,115,GBR
Horace James Murrall Aldous,25,NA,NA,Great Britain,GBR,1908 Summer,1908,London,NA,2,198,GBR
Robert Theodor Andersson,21,NA,NA,Sweden,SWE,1908 Summer,1908,London,NA,2,382,GBR
Gustaf Harald Arbin (Andersson-),40,NA,NA,Sweden,SWE,1908 Summer,1908,London,NA,2,175,GBR
Toivo Nestori Aro (Ahlstedt-),21,NA,NA,Finland,FIN,1908 Summer,1908,London,NA,2,440,GBR
George F. Cane,NA,NA,NA,Great Britain,GBR,1908 Summer,1908,London,NA,2,151,GBR
Thomas J. Collins,NA,NA,NA,Great Britain,GBR,1908 Summer,1908,London,NA,2,432,GBR
"Heinrich ""Heinz"" Freyschmidt",20,NA,NA,Germany,GER,1908 Summer,1908,London,NA,2,189,GBR
George William Gaidzik,23,166,NA,United States,USA,1908 Summer,1908,London,NA,2,152,GBR
Harold Goodworth,NA,NA,NA,Great Britain,GBR,1908 Summer,1908,London,NA,2,183,GBR
Harold C. Grote,NA,NA,NA,United States,USA,1908 Summer,1908,London,NA,2,182,GBR
Thomas Harrington,NA,NA,NA,Great Britain,GBR,1908 Summer,1908,London,NA,2,430,GBR
William O. Hoare,NA,NA,NA,Great Britain,GBR,1908 Summer,1908,London,NA,2,473,GBR
Joseph Huketick,NA,NA,NA,Belgium,BEL,1908 Summer,1908,London,NA,2,247,GBR
Sigfrid Daniel Larsson,26,NA,NA,Sweden,SWE,1908 Summer,1908,London,NA,2,412,GBR
Hilmer Lfberg,20,NA,NA,Sweden,SWE,1908 Summer,1908,London,NA,2,197,GBR
"Friedrich Karl August ""Fritz"" Nicolai",29,NA,NA,Germany,GER,1908 Summer,1908,London,NA,2,142,GBR
Axel Vilhelm Runstrm,24,NA,NA,Sweden,SWE,1908 Summer,1908,London,NA,2,50,GBR
William E. Webb,NA,NA,NA,Great Britain,GBR,1908 Summer,1908,London,NA,2,472,GBR
