EventId,TrackId,Type,RaceNum,CorrectedPostTime,Yards,SurfaceText,HorseName,HorseId,Age,Sex,Weight_lbs,PostPosition,Medication,MorningLine,WN_pool,PL_pool,SH_pool,Finish
1,2,Thoroughbred,1,2019-03-05T02:30:00Z,2420,Turf,Sesto Elemento,20341,13,M,124,3,NA,25,83,55,41,1
1,2,Thoroughbred,1,2019-03-05T02:30:00Z,2420,Turf,Carberry Hill,3438,15,G,128,4,NA,50,59,45,13,2
1,2,Thoroughbred,1,2019-03-05T02:30:00Z,2420,Turf,Anna Mae,829,15,F,123,9,NA,18,430,190,87,3
1,2,Thoroughbred,1,2019-03-05T02:30:00Z,2420,Turf,Red Moon Miss,18719,14,M,124,1,NA,13,95,58,21,NA
1,2,Thoroughbred,1,2019-03-05T02:30:00Z,2420,Turf,Cool Dude,4590,14,G,129,2,NA,3,648,320,156,NA
1,2,Thoroughbred,1,2019-03-05T02:30:00Z,2420,Turf,On Our Honour,16708,15,F,123,5,NA,2.25,1455,585,302,NA
1,2,Thoroughbred,1,2019-03-05T02:30:00Z,2420,Turf,Gilded Prince,8552,15,G,128,6,NA,50,48,32,23,NA
1,2,Thoroughbred,1,2019-03-05T02:30:00Z,2420,Turf,Danubian,5203,14,M,124,7,NA,20,173,84,37,NA
1,2,Thoroughbred,1,2019-03-05T02:30:00Z,2420,Turf,Like You Look,12929,12,G,129,8,NA,4,247,127,80,NA
2,2,Thoroughbred,2,2019-03-05T03:00:00Z,1210,Turf,Invincible Lotus,10760,16,F,125,2,NA,4.5,1227,317,190,1
2,2,Thoroughbred,2,2019-03-05T03:00:00Z,1210,Turf,Faith And Love,7177,16,F,125,8,NA,20,195,110,70,2
2,2,Thoroughbred,2,2019-03-05T03:00:00Z,1210,Turf,Walk Free,24934,16,F,125,16,NA,33,90,44,33,3
2,2,Thoroughbred,2,2019-03-05T03:00:00Z,1210,Turf,Riverina Demand,19084,16,F,125,3,NA,18,123,74,58,NA
2,2,Thoroughbred,2,2019-03-05T03:00:00Z,1210,Turf,Seemingly Discreet,20239,16,F,125,6,NA,20,178,77,51,NA
2,2,Thoroughbred,2,2019-03-05T03:00:00Z,1210,Turf,Norma Stars,16241,16,F,125,7,NA,25,97,35,29,NA
2,2,Thoroughbred,2,2019-03-05T03:00:00Z,1210,Turf,Swan Island,22549,16,F,125,9,NA,5,536,214,147,NA
2,2,Thoroughbred,2,2019-03-05T03:00:00Z,1210,Turf,Bronski Girl,2885,16,F,125,13,NA,7.5,514,199,100,NA
2,2,Thoroughbred,2,2019-03-05T03:00:00Z,1210,Turf,Caramel Popcorn,3437,16,F,125,14,NA,25,284,117,60,NA
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,Everywhere Mann,7023,14,G,129,9,NA,3.5,994,115,586,1
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,Sinnamon Lane,20960,14,M,124,3,NA,80,141,17,42,2
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,Mister Hay Zee,14995,14,G,129,2,NA,5,523,111,170,3
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,Don't Test Me,6010,11,G,129,1,NA,6,149,38,46,NA
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,Spinrich,21685,13,G,129,4,NA,80,52,14,16,NA
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,No Effort,16185,14,M,124,5,NA,5,718,104,165,NA
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,Love Delight,13378,14,M,124,6,NA,20,64,20,21,NA
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,Lord Harry,13306,14,G,129,7,NA,18,55,16,21,NA
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,Nazare,15937,14,G,129,8,NA,25,50,12,20,NA
3,2,Thoroughbred,3,2019-03-05T03:30:00Z,1430,Turf,Exelant Mosh,7053,14,M,124,10,NA,10,238,38,62,NA
4,2,Thoroughbred,4,2019-03-05T04:00:00Z,1430,Turf,First Tier,7625,15,F,125,7,NA,5.5,1958,463,227,1
4,2,Thoroughbred,4,2019-03-05T04:00:00Z,1430,Turf,Sigrid The Haughty,20817,15,F,125,8,NA,20,94,25,16,2
4,2,Thoroughbred,4,2019-03-05T04:00:00Z,1430,Turf,Ametrine,705,15,F,125,11,NA,5.5,738,148,85,3
4,2,Thoroughbred,4,2019-03-05T04:00:00Z,1430,Turf,Lady Cellarbration,12371,15,F,125,1,NA,80,60,13,13,NA
4,2,Thoroughbred,4,2019-03-05T04:00:00Z,1430,Turf,Miss Matriarch,14899,15,F,125,2,NA,6.5,190,71,45,NA
